consistency_model,total,DD_count,DD_both_wrong,DD_open_wrong_assistive_correct,DD_open_correct_assistive_wrong,DD_both_correct,DD_missing_label,DD_rate,labeled_dd,label_coverage,share_DD_both_wrong,share_DD_open_wrong_assistive_correct,share_DD_open_correct_assistive_wrong,share_DD_both_correct,share_DD_missing_label
llama-3.1-8B-Instruct,842,559,0,0,0,0,559,0.663895486935867,0,0.0,0.0,0.0,0.0,0.0,1.0
mistral-7B-Instruct-v0.3,884,519,0,0,0,0,519,0.5871040723981901,0,0.0,0.0,0.0,0.0,0.0,1.0
qwen-3-8B,896,324,0,0,0,0,324,0.36160714285714285,0,0.0,0.0,0.0,0.0,0.0,1.0
llama-3.3-70B-Instruct,907,234,0,0,0,0,234,0.2579933847850055,0,0.0,0.0,0.0,0.0,0.0,1.0
qwen-2.5-72B-Instruct,904,224,0,0,0,0,224,0.24778761061946902,0,0.0,0.0,0.0,0.0,0.0,1.0
meta-llama-llama-3-1-8b-instruct,593,180,109,42,24,0,5,0.30354131534569984,175,0.9722222222222222,0.6228571428571429,0.24,0.13714285714285715,0.0,0.027777777777777776
google-gemma-3-4b-it,615,162,122,21,16,0,3,0.2634146341463415,159,0.9814814814814815,0.7672955974842768,0.1320754716981132,0.10062893081761007,0.0,0.018518518518518517
mistralai-mistral-7b-instruct-v0-3,574,133,85,26,15,0,7,0.23170731707317074,126,0.9473684210526315,0.6746031746031746,0.20634920634920634,0.11904761904761904,0.0,0.05263157894736842
qwen-qwen3-8b,617,74,53,12,9,0,0,0.11993517017828201,74,1.0,0.7162162162162162,0.16216216216216217,0.12162162162162163,0.0,0.0
meta-llama-llama-3-3-70b-instruct,578,46,21,17,6,0,2,0.07958477508650519,44,0.9565217391304348,0.4772727272727273,0.38636363636363635,0.13636363636363635,0.0,0.043478260869565216
qwen-qwen2-5-72b-instruct,619,45,29,7,9,0,0,0.07269789983844911,45,1.0,0.6444444444444445,0.15555555555555556,0.2,0.0,0.0
qwen-qwen3-32b,604,42,20,13,9,0,0,0.0695364238410596,42,1.0,0.47619047619047616,0.30952380952380953,0.21428571428571427,0.0,0.0
